blue_fighter,red_fighter,elo_blue_pre,elo_red_pre,winner,weightclass,date,blue_cumulative_avg_sigstr,blue_cumulative_avg_sigstr_att,blue_cumulative_avg_totstr,blue_cumulative_avg_totstr_att,blue_cumulative_avg_td,blue_cumulative_avg_td_att,blue_cumulative_avg_head,blue_cumulative_avg_head_att,blue_cumulative_avg_body,blue_cumulative_avg_body_att,blue_cumulative_avg_leg,blue_cumulative_avg_leg_att,blue_cumulative_avg_distance,blue_cumulative_avg_distance_att,blue_cumulative_avg_clinch,blue_cumulative_avg_clinch_att,blue_cumulative_avg_ground,blue_cumulative_avg_ground_att,blue_cumulative_avg_kd,blue_cumulative_avg_ctrl,blue_cumulative_avg_subatt,red_cumulative_avg_sigstr,red_cumulative_avg_sigstr_att,red_cumulative_avg_totstr,red_cumulative_avg_totstr_att,red_cumulative_avg_td,red_cumulative_avg_td_att,red_cumulative_avg_head,red_cumulative_avg_head_att,red_cumulative_avg_body,red_cumulative_avg_body_att,red_cumulative_avg_leg,red_cumulative_avg_leg_att,red_cumulative_avg_distance,red_cumulative_avg_distance_att,red_cumulative_avg_clinch,red_cumulative_avg_clinch_att,red_cumulative_avg_ground,red_cumulative_avg_ground_att,red_cumulative_avg_kd,red_cumulative_avg_ctrl,red_cumulative_avg_subatt,blue_height_cm,blue_reach_cm,red_height_cm,red_reach_cm,blue_wins,blue_losses,blue_win_ratio,red_wins,blue_losses,red_win_ratio,dec_blue,ko_tko_blue,sub_blue,dec_red,ko_tko_red,sub_red
Jonathan Goulet,Duane Ludwig,1500,1500,red,Welterweight,2006-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.88,185.42,177.8,177.8,23,12,0.6571428571428571,21,12,0.6363636363636364,0,0,0,0,0,0
Assuerio Silva,Tim Sylvia,1500,1500,red,Heavyweight,2006-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.8,,203.2,203.2,16,8,0.6666666666666666,31,8,0.7948717948717948,0,0,0,0,0,0
Melvin Guillard,Josh Neer,1500,1500,red,Welterweight,2006-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.26,180.34,180.34,182.88,32,18,0.64,36,18,0.6666666666666666,0,0,0,0,0,0
Jorge Rivera,Chris Leben,1500,1500,red,Middleweight,2006-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.42,185.42,180.34,185.42,20,9,0.6896551724137931,22,9,0.7096774193548387,0,0,0,0,0,0
Drew Fickett,Joshua Burkman,1500,1500,red,Welterweight,2006-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.8,177.8,177.8,182.88,42,21,0.6666666666666666,28,21,0.5714285714285714,0,0,0,0,0,0
Aaron Riley,Spencer Fisher,1500,1500,red,Welterweight,2006-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.72,175.26,170.18,172.72,30,14,0.6818181818181818,24,14,0.631578947368421,0,0,0,0,0,0
Alex Karalexis,Jason Von Flue,1500,1500,red,Welterweight,2006-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.72,167.64,182.88,,10,6,0.625,14,6,0.7,0,0,0,0,0,0
James Irvin,Stephan Bonnar,1500,1500,red,Light Heavyweight,2006-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.96,190.5,193.04,200.66,17,10,0.6296296296296297,15,10,0.6,0,0,0,0,0,0
Gilbert Aldana,Paul Buentello,1500,1500,red,Heavyweight,2006-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.42,,187.96,195.58,6,2,0.75,35,2,0.9459459459459459,0,0,0,0,0,0
Randy Couture,Chuck Liddell,1500,1500,red,Light Heavyweight,2006-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.42,190.5,187.96,193.04,19,11,0.6333333333333333,21,11,0.65625,0,0,0,0,0,0
