elo_blue_pre,elo_red_pre,winner,weightclass,blue_cumulative_avg_sigstr,blue_cumulative_avg_sigstr_att,blue_cumulative_avg_totstr,blue_cumulative_avg_totstr_att,blue_cumulative_avg_td,blue_cumulative_avg_td_att,blue_cumulative_avg_head,blue_cumulative_avg_head_att,blue_cumulative_avg_body,blue_cumulative_avg_body_att,blue_cumulative_avg_leg,blue_cumulative_avg_leg_att,blue_cumulative_avg_distance,blue_cumulative_avg_distance_att,blue_cumulative_avg_clinch,blue_cumulative_avg_clinch_att,blue_cumulative_avg_ground,blue_cumulative_avg_ground_att,blue_cumulative_avg_kd,blue_cumulative_avg_ctrl,blue_cumulative_avg_subatt,red_cumulative_avg_sigstr,red_cumulative_avg_sigstr_att,red_cumulative_avg_totstr,red_cumulative_avg_totstr_att,red_cumulative_avg_td,red_cumulative_avg_td_att,red_cumulative_avg_head,red_cumulative_avg_head_att,red_cumulative_avg_body,red_cumulative_avg_body_att,red_cumulative_avg_leg,red_cumulative_avg_leg_att,red_cumulative_avg_distance,red_cumulative_avg_distance_att,red_cumulative_avg_clinch,red_cumulative_avg_clinch_att,red_cumulative_avg_ground,red_cumulative_avg_ground_att,red_cumulative_avg_kd,red_cumulative_avg_ctrl,red_cumulative_avg_subatt,blue_height_cm,blue_reach_cm,red_height_cm,red_reach_cm,blue_wins,blue_losses,blue_win_ratio,red_wins,blue_losses.1,red_win_ratio,dec_blue,ko_tko_blue,sub_blue,dec_red,ko_tko_red,sub_red
1514.4,1519.2,1,5,44.0,131.0,90.0,177.0,0.0,0.0,35.0,120.0,2.0,3.0,7.0,8.0,38.0,115.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,22.0,25.0,2.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,243.0,2.0,187.96,193.04,193.04,200.66,17.0,11.0,0.6071428571428571,15.0,11.0,0.5769230769230769,1,0,0,0,0,1
1533.4010693043276,1511.2,1,5,17.5,49.0,37.0,69.0,1.5,4.5,11.0,41.0,5.0,5.0,1.5,3.0,12.0,43.5,4.5,4.5,1.0,1.0,0.5,238.5,1.5,23.0,72.0,46.0,95.0,9.0,11.0,19.0,67.0,4.0,5.0,0.0,0.0,17.0,58.0,5.0,10.0,1.0,4.0,0.0,563.0,0.0,193.04,200.66,182.88,190.5,15.0,9.0,0.625,19.0,9.0,0.6785714285714286,1,0,1,1,0,0
1515.1949643274334,1480.8,1,8,43.0,108.0,97.0,165.0,3.0,4.0,18.0,73.0,13.0,23.0,12.0,12.0,22.0,69.0,13.0,25.0,8.0,14.0,0.0,245.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.88,187.96,182.88,185.42,6.0,6.0,0.5,23.0,6.0,0.7931034482758621,1,0,0,0,0,0
1519.2,1520.2599524365778,1,8,11.0,27.0,19.0,36.0,0.0,0.0,5.0,17.0,4.0,5.0,2.0,5.0,5.0,19.0,4.0,6.0,2.0,2.0,1.0,12.0,0.0,25.0,50.0,122.0,149.0,3.0,4.0,18.0,41.0,4.0,6.0,3.0,3.0,7.0,14.0,9.0,18.0,9.0,18.0,1.0,312.0,1.0,175.26,177.8,182.88,187.96,23.0,15.0,0.6052631578947368,30.0,15.0,0.6666666666666666,0,1,0,0,0,1
1532.8050356725669,1498.9400475634222,1,8,24.5,67.5,38.0,82.0,0.5,0.5,24.0,67.0,0.0,0.0,0.5,0.5,7.0,32.0,0.5,1.5,17.0,34.0,0.5,263.5,1.0,13.5,22.0,14.0,22.5,0.5,1.5,2.0,10.0,0.0,0.0,11.5,12.0,3.5,10.5,10.0,11.5,0.0,0.0,0.0,100.5,1.0,180.34,182.88,177.8,182.88,36.0,16.0,0.6923076923076923,28.0,16.0,0.6363636363636364,1,0,1,0,0,1
1481.5953180571903,1532.8046819428096,1,4,11.0,24.0,12.0,26.0,0.0,0.0,7.0,18.0,3.0,5.0,1.0,1.0,9.0,20.0,2.0,4.0,0.0,0.0,1.0,7.0,0.0,49.0,127.0,75.0,153.0,0.0,0.0,32.0,107.5,10.5,12.0,6.5,7.5,38.0,113.0,7.0,10.0,4.0,4.0,0.5,100.5,0.0,190.5,195.58,203.2,203.2,34.0,24.0,0.5862068965517241,31.0,24.0,0.5636363636363636,0,0,0,1,1,0
1518.1400475634225,1511.797530655517,1,7,9.0,15.0,14.0,20.0,1.0,1.0,8.0,14.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,3.0,5.0,10.0,1.0,70.0,0.0,15.666666666666666,38.33333333333333,72.33333333333333,96.66666666666666,2.0,2.666666666666667,11.0,29.0,4.0,8.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,10.0,8.333333333333332,19.333333333333332,5.666666666666666,9.0,0.3333333333333333,205.33333333333331,0.0,185.42,190.5,180.34,185.42,25.0,12.0,0.6756756756756757,22.0,12.0,0.6470588235294118,0,1,0,1,1,0
1494.8630339534805,1532.8050356725669,1,8,9.0,17.5,32.5,44.0,3.0,4.5,7.0,14.5,1.5,2.0,0.5,1.0,1.0,3.0,0.0,0.0,8.0,14.5,0.0,346.5,0.0,23.5,39.5,50.5,71.0,3.0,4.5,15.5,29.5,8.0,9.0,0.0,1.0,3.0,13.0,0.0,0.5,20.5,26.0,0.0,421.5,1.0,182.88,185.42,177.8,185.42,23.0,12.0,0.6571428571428571,17.0,12.0,0.5862068965517241,1,0,0,1,0,1
1519.2,1514.4,1,8,18.0,30.0,23.0,41.0,2.0,3.0,16.0,28.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,17.0,28.0,0.0,243.0,0.0,9.0,67.0,25.0,87.0,1.0,16.0,8.0,62.0,1.0,5.0,0.0,0.0,7.0,64.0,2.0,3.0,0.0,0.0,0.0,262.0,0.0,177.8,182.88,177.8,182.88,24.0,11.0,0.6857142857142857,31.0,11.0,0.7380952380952381,0,1,0,1,0,0
1519.2,1519.2,1,5,9.0,12.0,11.0,14.0,0.0,1.0,1.0,3.0,1.0,2.0,7.0,7.0,2.0,3.0,6.0,7.0,1.0,2.0,0.0,96.0,1.0,19.0,51.0,27.0,59.0,0.0,0.0,18.0,49.0,0.0,1.0,1.0,1.0,14.0,46.0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,185.42,190.5,187.96,193.04,37.0,11.0,0.7708333333333334,21.0,11.0,0.65625,0,0,1,0,1,0
