round,method,score,best_score,params,controller_values,controller_counts
0,random,0.9571637234596494,-1,"{'n_estimators': 50, 'max_depth': 20}","{'random': np.float64(0.9571637234596494), 'optuna': 0.0}","{'random': 1, 'optuna': 0}"
1,optuna,0.9515211071345949,0.9571637234596494,"{'n_estimators': 177, 'max_depth': 15}","{'random': np.float64(0.9571637234596494), 'optuna': 0.9515211071345949}","{'random': 1, 'optuna': 1}"
2,random,0.9567664575870509,0.9571637234596494,"{'n_estimators': 100, 'max_depth': 20}","{'random': np.float64(0.9569650905233502), 'optuna': 0.9515211071345949}","{'random': 2, 'optuna': 1}"
3,random,0.9570391088162172,0.9571637234596494,"{'n_estimators': 50, 'max_depth': 10}","{'random': np.float64(0.9569897632876392), 'optuna': 0.9515211071345949}","{'random': 3, 'optuna': 1}"
4,random,0.9568428418108144,0.9571637234596494,"{'n_estimators': 100, 'max_depth': 10}","{'random': np.float64(0.956953032918433), 'optuna': 0.9515211071345949}","{'random': 4, 'optuna': 1}"
0,random,0.9543781124619448,-1,"{'n_estimators': 50, 'max_depth': None}","{'random': np.float64(0.9543781124619448), 'optuna': 0.0}","{'random': 1, 'optuna': 0}"
1,optuna,0.9515095984375481,0.9543781124619448,"{'n_estimators': 77, 'max_depth': 18}","{'random': np.float64(0.9543781124619448), 'optuna': 0.9515095984375481}","{'random': 1, 'optuna': 1}"
2,random,0.9542556413079567,0.9543781124619448,"{'n_estimators': 150, 'max_depth': 5}","{'random': np.float64(0.9543168768849508), 'optuna': 0.9515095984375481}","{'random': 2, 'optuna': 1}"
3,random,0.9515842258998802,0.9543781124619448,"{'n_estimators': 100, 'max_depth': None}","{'random': np.float64(0.9534059932232606), 'optuna': 0.9515095984375481}","{'random': 3, 'optuna': 1}"
4,random,0.9486850948987589,0.9543781124619448,"{'n_estimators': 50, 'max_depth': None}","{'random': np.float64(0.9522257686421352), 'optuna': 0.9515095984375481}","{'random': 4, 'optuna': 1}"
